"","YEAR","STATE","STATEID","white","black","other","check","tot","other_alt","Pop"
"155",1980,"US",70,169274,150249,9172,0,328695,9172,229465608
"156",1980,"UT",49,828,87,17,0,932,17,1515469
"157",1980,"VA",51,3492,5021,407,0,8920,407,5444106
"158",1980,"VT",50,476,3,1,0,480,1,515605
"159",1980,"WA",53,3267,902,213,0,4382,213,4235731
"160",1980,"WI",55,2299,1553,128,0,3980,128,4726336
"161",1980,"WV",54,1068,188,1,0,1257,1,1954115
"162",1980,"WY",56,462,23,49,0,534,49,491715
"163",1981,"AK",2,533,139,347,0,1019,347,449611
"164",1981,"AL",1,2933,4718,6,0,7657,6,3925229
"165",1981,"AR",5,1696,1632,0,0,3328,0,2294262
"166",1981,"AZ",4,3997,1009,217,0,5223,217,2889865
"167",1981,"CA",6,18451,10270,481,0,29202,481,24820007
"168",1981,"CO",8,2161,579,32,0,2772,32,3061569
"169",1981,"CT",9,2537,2105,5,0,4647,5,3139012
"170",1981,"DC",11,103,3376,0,0,3479,0,634171
"171",1981,"DE",10,691,1021,0,0,1712,0,599136
"172",1981,"FE",99,15583,8798,3752,0,28133,3752,NA
"173",1981,"FL",12,12174,11351,64,0,23589,64,10471407
"174",1981,"GA",13,5123,7313,8,0,12444,8,5649793
"175",1981,"HI",15,280,44,883,0,1207,883,993802
"176",1981,"IA",19,2138,490,42,0,2670,42,2888190
"177",1981,"ID",16,896,26,35,0,957,35,973729
"178",1981,"IL",17,4952,8217,37,0,13206,37,11423414
"179",1981,"IN",18,5221,2795,6,0,8022,6,5467927
"180",1981,"KS",20,1784,934,52,0,2770,52,2401211
"181",1981,"KY",21,2996,1171,0,0,4167,0,3683437
"182",1981,"LA",22,2650,6763,2,0,9415,2,4352610
"183",1981,"MA",25,2551,1329,9,0,3889,9,5771226
"184",1981,"MD",24,2560,6761,14,0,9335,14,4282917
"185",1981,"ME",23,966,15,11,0,992,11,1136684
"186",1981,"MI",26,5818,8515,824,0,15157,824,9115202
"187",1981,"MN",27,1408,421,195,0,2024,195,4131444
"188",1981,"MO",29,3515,2974,0,0,6489,0,4929442
"189",1981,"MS",28,1258,2829,537,0,4624,537,2556768
"190",1981,"MT",30,642,21,168,0,831,168,803990
"191",1981,"NC",37,7025,8380,386,0,15791,386,6019141
"192",1981,"ND",38,230,2,48,0,280,48,668969
"193",1981,"NE",31,1036,533,84,0,1653,84,1581786
"194",1981,"NH",33,390,5,3,0,398,3,947717
"195",1981,"NJ",34,2556,4455,0,0,7011,0,7430968
"196",1981,"NM",35,1249,160,88,0,1497,88,1363794
"197",1981,"NV",32,1481,591,44,0,2116,44,881545
"198",1981,"NY",36,11941,13407,251,0,25599,251,17589746
"199",1981,"OH",39,7739,7229,0,0,14968,0,10757088
"200",1981,"OK",40,3407,1482,392,0,5281,392,3206124
"201",1981,"OR",41,2830,340,125,0,3295,125,2664922
"202",1981,"PA",42,4269,5088,8,0,9365,8,11845148
"203",1981,"RI",44,714,246,2,0,962,2,954176
"204",1981,"SC",45,3558,4972,8,0,8538,8,3207618
"205",1981,"SD",46,512,14,167,0,693,167,690615
"206",1981,"ST",60,174920,159331,6388,0,340639,6388,NA
"207",1981,"TN",47,4551,3346,0,0,7897,0,4646043
"208",1981,"TX",48,17768,13732,2,0,31502,2,15331410
"209",1981,"US",70,190503,168129,10140,0,368772,10140,231664496
"210",1981,"UT",49,1010,107,23,0,1140,23,1558316
"211",1981,"VA",51,3917,5376,95,0,9388,95,5492773
"212",1981,"VT",50,520,10,4,0,534,4,519107
"213",1981,"WA",53,3727,1106,503,0,5336,503,4276545
"214",1981,"WI",55,2574,1689,153,0,4416,153,4728876
"215",1981,"WV",54,1345,218,2,0,1565,2,1949606
"216",1981,"WY",56,537,25,25,0,587,25,506408
"217",1982,"AK",2,726,94,486,0,1306,486,488417
"218",1982,"AL",1,3604,5619,10,0,9233,10,3934103
"219",1982,"AR",5,1906,2011,8,0,3925,8,2305754
"220",1982,"AZ",4,4187,993,889,0,6069,889,2968928
"221",1982,"CA",6,21478,12226,936,0,34640,936,25360023
"222",1982,"CO",8,2371,636,35,0,3042,35,3133628
"223",1982,"CT",9,3186,2642,8,0,5836,8,3162343
"224",1982,"DC",11,115,3966,0,0,4081,0,632439
"225",1982,"DE",10,853,1209,0,0,2062,0,605415
"226",1982,"FE",99,19029,9994,650,0,29673,650,NA
"227",1982,"FL",12,14337,13471,22,0,27830,22,10749845
"228",1982,"GA",13,5916,8499,1,0,14416,1,5728254
"229",1982,"HI",15,259,68,1109,0,1436,1109,1012717
"230",1982,"IA",19,2242,509,78,0,2829,78,2870550
"231",1982,"ID",16,885,29,133,0,1047,133,981858
"232",1982,"IL",17,4677,8654,962,0,14293,962,11408823
"233",1982,"IN",18,5716,3067,7,0,8790,7,5450402
"234",1982,"KS",20,1926,1095,57,0,3078,57,2415537
"235",1982,"KY",21,2958,1119,0,0,4077,0,3694480
"236",1982,"LA",22,3062,7873,0,0,10935,0,4395316
"237",1982,"MA",25,3057,1554,12,0,4623,12,5799403
"238",1982,"MD",24,3018,7973,21,0,11012,21,4313319
"239",1982,"ME",23,970,17,12,0,999,12,1144769
"240",1982,"MI",26,5838,8647,739,0,15224,739,9047753
"241",1982,"MN",27,1396,430,255,0,2081,255,4141438
"242",1982,"MO",29,4487,2958,0,0,7445,0,4943727
"243",1982,"MS",28,1608,3674,202,0,5484,202,2567730
"244",1982,"MT",30,711,18,185,0,914,185,814028
"245",1982,"NC",37,7280,8843,455,0,16578,455,6077066
"246",1982,"ND",38,274,7,41,0,322,41,676685
"247",1982,"NE",31,1063,538,108,0,1709,108,1584301
"248",1982,"NH",33,437,7,1,0,445,1,958125
"249",1982,"NJ",34,3085,5095,11,0,8191,11,7467789
"250",1982,"NM",35,1459,197,62,0,1718,62,1394352
"251",1982,"NV",32,2023,649,40,0,2712,40,901974
"252",1982,"NY",36,13115,14695,141,0,27951,141,17686905
"253",1982,"OH",39,8995,8322,0,0,17317,0,10737635
"254",1982,"OK",40,4223,1707,420,0,6350,420,3290404
"255",1982,"OR",41,3246,454,167,0,3867,167,2653058
"256",1982,"PA",42,4712,5801,9,0,10522,9,11837728
"257",1982,"RI",44,743,291,3,0,1037,3,956376
"258",1982,"SC",45,3762,5358,17,0,9137,17,3234074
"259",1982,"SD",46,601,16,174,0,791,174,692985
"260",1982,"ST",60,195712,179616,9361,0,384689,9361,NA
"261",1982,"TN",47,4354,3515,0,0,7869,0,4659755
"262",1982,"TX",48,20231,15917,1,0,36149,1,15751678
"263",1982,"US",70,214741,189610,10011,0,414362,10011,233791903
"264",1982,"UT",49,1080,105,31,0,1216,31,1594939
"265",1982,"VA",51,4230,5777,72,0,10079,72,5564658
"266",1982,"VT",50,0,0,599,0,599,599,523308
"267",1982,"WA",53,4458,1228,636,0,6322,636,4300270
"268",1982,"WI",55,2704,1789,177,0,4670,177,4721445
"269",1982,"WV",54,1496,233,0,0,1729,0,1945065
"270",1982,"WY",56,652,21,29,0,702,29,510329
"271",1983,"AK",2,947,147,540,0,1634,540,513703
"272",1983,"AL",1,3836,6012,8,0,9856,8,3951826
"273",1983,"AR",5,2054,2179,11,0,4244,11,2319774
"274",1983,"AZ",4,5641,1333,277,0,7251,277,3067142
"275",1983,"CA",6,24272,13786,1315,0,39373,1315,25844389
"276",1983,"CO",8,2531,685,28,0,3244,28,3169987
"277",1983,"CT",9,2068,2486,920,0,5474,920,3180023
"278",1983,"DC",11,142,4202,0,0,4344,0,633382
"279",1983,"DE",10,929,1266,3,0,2198,3,611517
"280",1983,"FE",99,20628,10446,852,0,31926,852,NA
"281",1983,"FL",12,13440,12861,33,0,26334,33,11039921
"282",1983,"GA",13,6242,9115,1,0,15358,1,5834957
"283",1983,"HI",15,458,89,1153,0,1700,1153,1027935
"284",1983,"IA",19,2206,518,90,0,2814,90,2858624
"285",1983,"ID",16,1119,30,43,0,1192,43,990841
"286",1983,"IL",17,5180,9325,1090,0,15595,1090,11412138
"287",1983,"IN",18,6042,3247,7,0,9296,7,5458328
"288",1983,"KS",20,2307,1336,62,0,3705,62,2424076
"289",1983,"KY",21,3265,1486,1,0,4752,1,3695451
"290",1983,"LA",22,3587,9225,0,0,12812,0,4400474
"291",1983,"MA",25,2978,1496,8,0,4482,8,5840772
"292",1983,"MD",24,3401,9196,20,0,12617,20,4365238
"293",1983,"ME",23,1051,14,17,0,1082,17,1155630
"294",1983,"MI",26,5839,8264,279,0,14382,279,9049446
"295",1983,"MN",27,1404,462,247,0,2113,247,4157698
"296",1983,"MO",29,5354,2921,0,0,8275,0,4975283
"297",1983,"MS",28,1582,3732,272,0,5586,272,2578058
"298",1983,"MT",30,699,14,190,0,903,190,820893
"299",1983,"NC",37,6625,8320,450,0,15395,450,6164014
"300",1983,"ND",38,330,8,72,0,410,72,680498
"301",1983,"NE",31,1018,538,73,0,1629,73,1588629
"302",1983,"NH",33,467,12,0,0,479,0,976864
"303",1983,"NJ",34,3291,5887,14,0,9192,14,7515478
"304",1983,"NM",35,1668,256,53,0,1977,53,1416665
"305",1983,"NV",32,1904,1016,268,0,3188,268,924905
"306",1983,"NY",36,14411,16000,130,0,30541,130,17745690
"307",1983,"OH",39,9019,8988,0,0,18007,0,10737746
"308",1983,"OK",40,4842,2057,529,0,7428,529,3285528
"309",1983,"OR",41,3354,447,140,0,3941,140,2666592
"310",1983,"PA",42,5236,6521,10,0,11767,10,11815171
"311",1983,"RI",44,804,351,2,0,1157,2,961901
"312",1983,"SC",45,3891,5661,24,0,9576,24,3271861
"313",1983,"SD",46,599,20,207,0,826,207,697239
"314",1983,"ST",60,205274,189770,10268,0,405312,10268,NA
"315",1983,"TN",47,4555,3626,20,0,8201,20,4686740
"316",1983,"TX",48,19934,15325,0,0,35259,0,16007077
"317",1983,"US",70,225902,200216,11120,0,437238,11120,235824783
"318",1983,"UT",49,1112,125,37,0,1274,37,1622341
"319",1983,"VA",51,4129,5765,199,0,10093,199,5643860
"320",1983,"VT",50,0,0,497,0,497,497,526658
"321",1983,"WA",53,4584,1290,775,0,6649,775,4343650
"322",1983,"WI",55,2881,1858,126,0,4865,126,4735576
"323",1983,"WV",54,1377,245,2,0,1624,2,1927701
"324",1983,"WY",56,669,27,25,0,721,25,504893
"325",1984,"AK",2,1102,157,708,0,1967,708,532492
"326",1984,"AL",1,4178,6295,9,0,10482,9,3972520
"327",1984,"AR",5,2181,2288,3,0,4472,3,2327044
"328",1984,"AZ",4,6153,1318,374,0,7845,374,3183535
"329",1984,"CA",6,26966,14654,1708,0,43328,1708,26441112
"330",1984,"CO",8,2496,680,55,0,3231,55,3208717
"331",1984,"CT",9,2058,2596,1064,0,5718,1064,3201128
"332",1984,"DC",11,139,4382,0,0,4521,0,634543
"333",1984,"DE",10,921,1276,5,0,2202,5,618284
"334",1984,"FE",99,22560,10786,917,0,34263,917,NA
"335",1984,"FL",12,13350,13161,403,0,26914,403,11351122
"336",1984,"GA",13,6452,9354,2,0,15808,2,5962668
"337",1984,"HI",15,450,80,1435,0,1965,1435,1039683
"338",1984,"IA",19,2220,522,94,0,2836,94,2829685
"339",1984,"ID",16,1187,27,39,0,1253,39,994046
"340",1984,"IL",17,5624,10214,1276,0,17114,1276,11399804
"341",1984,"IN",18,6063,3260,5,0,9328,5,5459216
"342",1984,"KS",20,2675,1497,72,0,4244,72,2427412
"343",1984,"KY",21,3217,1597,6,0,4820,6,3694827
"344",1984,"LA",22,3824,9835,0,0,13659,0,4408121
"345",1984,"MA",25,3235,1637,11,0,4883,11,5880743
"346",1984,"MD",24,3638,9460,26,0,13124,26,4413075
"347",1984,"ME",23,996,16,20,0,1032,20,1162935
"348",1984,"MI",26,5971,8334,299,0,14604,299,9076297
"349",1984,"MN",27,1447,480,240,0,2167,240,4184286
"350",1984,"MO",29,5689,3091,0,0,8780,0,5000254
"351",1984,"MS",28,1750,4002,363,0,6115,363,2588097
"352",1984,"MT",30,763,14,188,0,965,188,822305
"353",1984,"NC",37,7071,8882,418,0,16371,418,6253989
"354",1984,"ND",38,345,8,79,0,432,79,676991
"355",1984,"NE",31,1033,532,89,0,1654,89,1584662
"356",1984,"NH",33,570,11,0,0,581,0,996757
"357",1984,"NJ",34,3453,6873,37,0,10363,37,7565519
"358",1984,"NM",35,1805,255,69,0,2129,69,1438371
"359",1984,"NV",32,2038,1207,243,0,3488,243,951024
"360",1984,"NY",36,15979,16916,214,0,33109,214,17791670
"361",1984,"OH",39,9503,8833,283,0,18619,283,10734920
"362",1984,"OK",40,5018,2266,588,0,7872,588,3271332
"363",1984,"OR",41,3632,434,158,0,4224,158,2672648
"364",1984,"PA",42,5727,7352,11,0,13090,11,11770855
"365",1984,"RI",44,844,377,0,0,1221,0,968950
"366",1984,"SC",45,3958,5876,24,0,9858,24,3303208
"367",1984,"SD",46,674,22,225,0,921,225,698400
"368",1984,"ST",60,216868,198887,12424,0,428179,12424,NA
"369",1984,"TN",47,4045,3237,20,0,7302,20,4715287
"370",1984,"TX",48,21055,15627,0,0,36682,0,16272735
"371",1984,"US",70,239428,209673,13341,0,462442,13341,237923732
"372",1984,"UT",49,1328,138,34,0,1500,34,1642907
"373",1984,"VA",51,4389,6408,42,0,10839,42,5715156
"374",1984,"VT",50,0,0,515,0,515,515,530029
"375",1984,"WA",53,4735,1293,793,0,6821,793,4400098
"376",1984,"WI",55,2897,1853,152,0,4902,152,4747753
"377",1984,"WV",54,1357,227,1,0,1585,1,1906828
"378",1984,"WY",56,667,33,24,0,724,24,499692
"379",1985,"AK",2,1309,218,802,0,2329,802,544269
"380",1985,"AL",1,4436,6560,19,0,11015,19,3991562
"381",1985,"AR",5,2347,2264,0,0,4611,0,2331990
"382",1985,"AZ",4,6813,1362,356,0,8531,356,3308262
