"","YEAR","STATEID","STATE","REGION","state_name","Population","WHITE","BLACK","HISP","AIAN","ASIAN","NHPI","API","TWORACE","ADDRACE","UNKRACE","TOTRACE","NOTHISP","UNKHISP","TOTHCAT","gender"
"126",1980,21,"KY",3,"Kentucky",3670385,2514,976,0,0,NA,NA,0,NA,NA,0,3490,3490,0,NA,"M"
"127",1980,22,"LA",3,"Louisiana",4283298,2404,6182,8,0,NA,NA,0,NA,NA,0,8586,8578,0,NA,"M"
"128",1980,23,"ME",1,"Maine",1133021,788,9,0,11,NA,NA,0,NA,NA,0,808,808,0,NA,"M"
"129",1980,24,"MD",3,"Maryland",4261908,1740,5732,NA,12,NA,NA,0,NA,NA,18,7502,NA,7502,NA,"M"
"130",1980,25,"MA",1,"Massachusetts",5768683,2054,1144,122,2,NA,NA,4,NA,NA,0,3204,3082,0,NA,"M"
"131",1980,26,"MI",2,"Michigan",9209284,5122,7477,201,57,NA,NA,1,NA,NA,1833,14490,12669,1620,NA,"M"
"132",1980,27,"MN",2,"Minnesota",4111674,1409,358,29,149,NA,NA,0,NA,NA,20,1936,1907,0,NA,"M"
"133",1980,28,"MS",3,"Mississippi",2539051,881,1783,2,3,NA,NA,1,NA,NA,620,3288,2668,618,NA,"M"
"134",1980,29,"MO",2,"Missouri",4932079,2602,2709,NA,0,NA,NA,0,NA,NA,0,5311,NA,5311,NA,"M"
"135",1980,30,"MT",4,"Montana",795317,540,14,17,140,NA,NA,2,NA,NA,17,713,696,0,NA,"M"
"136",1980,31,"NE",2,"Nebraska",1578528,933,414,37,42,NA,NA,1,NA,NA,0,1390,1353,0,NA,"M"
"137",1980,32,"NV",4,"Nevada",847639,1213,495,48,20,NA,NA,11,NA,NA,0,1739,1691,0,NA,"M"
"138",1980,33,"NH",1,"New Hampshire",936644,305,7,1,3,NA,NA,6,NA,NA,0,321,320,0,NA,"M"
"139",1980,34,"NJ",1,"New Jersey",7407475,2098,3588,450,0,NA,NA,0,NA,NA,0,5686,5236,0,NA,"M"
"140",1980,35,"NM",4,"New Mexico",1332709,1220,151,787,30,NA,NA,0,NA,NA,7,1408,614,7,NA,"M"
"141",1980,36,"NY",1,"New York",17567729,9948,11052,4115,0,NA,NA,0,NA,NA,212,21212,17097,0,NA,"M"
"142",1980,37,"NC",3,"North Carolina",5956661,6510,7872,0,348,NA,NA,3,NA,NA,44,14777,14733,44,NA,"M"
"143",1980,38,"ND",2,"North Dakota",659524,209,1,6,41,NA,NA,0,NA,NA,0,251,245,0,NA,"M"
"144",1980,39,"OH",2,"Ohio",10788324,6634,6223,80,0,NA,NA,0,NA,NA,0,12857,12622,155,NA,"M"
"145",1980,40,"OK",3,"Oklahoma",3096157,2889,1220,68,247,NA,NA,1,NA,NA,4,4361,4293,0,NA,"M"
"146",1980,41,"OR",4,"Oregon",2667984,2590,338,97,117,NA,NA,0,NA,NA,29,3074,2977,0,NA,"M"
"147",1980,42,"PA",1,"Pennsylvania",11858571,3608,4297,NA,3,NA,NA,4,NA,NA,0,7912,NA,7912,NA,"M"
"148",1980,44,"RI",1,"Rhode Island",953007,597,188,28,0,NA,NA,3,NA,NA,0,788,760,0,NA,"M"
"149",1980,45,"SC",3,"South Carolina",3179235,3115,4406,NA,9,NA,NA,0,NA,NA,5,7535,NA,7535,NA,"M"
"150",1980,46,"SD",2,"South Dakota",689569,443,15,6,159,NA,NA,0,NA,NA,0,617,611,0,NA,"M"
"151",1980,47,"TN",3,"Tennessee",4627667,3658,3028,NA,0,NA,NA,0,NA,NA,0,6686,NA,6686,NA,"M"
"152",1980,48,"TX",3,"Texas",14746313,16446,12225,5389,0,NA,NA,0,NA,NA,0,28671,23282,0,NA,"M"
"153",1980,49,"UT",4,"Utah",1515469,809,82,155,12,NA,NA,2,NA,NA,0,905,750,0,NA,"M"
"154",1980,50,"VT",1,"Vermont",515605,460,3,0,1,NA,NA,0,NA,NA,0,464,464,0,NA,"M"
"155",1980,51,"VA",3,"Virginia",5444106,3378,4851,NA,0,NA,NA,0,NA,NA,388,8617,NA,8617,NA,"M"
"156",1980,53,"WA",4,"Washington",4235731,3147,845,188,160,NA,NA,40,NA,NA,2,4194,4006,0,NA,"M"
"157",1980,54,"WV",3,"West Virginia",1954115,1045,182,0,0,NA,NA,0,NA,NA,0,1227,1227,0,NA,"M"
"158",1980,55,"WI",2,"Wisconsin",4726336,2220,1486,156,115,NA,NA,4,NA,NA,1,3826,3668,2,NA,"M"
"159",1980,56,"WY",4,"Wyoming",491715,436,22,75,45,NA,NA,2,NA,NA,0,505,430,0,NA,"M"
"160",1980,60,"ST",7,"State prison total",NA,149284,135997,21150,2479,NA,NA,714,NA,0,3999,292473,187820,83503,NA,"M"
"161",1980,70,"US",5,"US prison total (state+federal)",NA,163083,143700,24451,2853,NA,NA,824,NA,0,4977,315437,206527,84459,NA,"M"
"162",1980,99,"FE",6,"Federal BOP",NA,13799,7703,3301,374,NA,NA,110,NA,NA,978,22964,18707,956,NA,"M"
"163",1981,1,"AL",3,"Alabama",3925229,2818,4516,1,4,NA,NA,0,NA,NA,1,7339,7338,0,NA,"M"
"164",1981,2,"AK",4,"Alaska",449611,505,126,NA,307,NA,NA,0,NA,NA,34,972,NA,972,NA,"M"
"165",1981,4,"AZ",4,"Arizona",2889865,3810,970,1194,159,NA,NA,8,NA,NA,39,4986,3781,11,NA,"M"
"166",1981,5,"AR",3,"Arkansas",2294262,1630,1567,0,0,NA,NA,0,NA,NA,0,3197,3197,0,NA,"M"
"167",1981,6,"CA",4,"California",24820007,17570,9765,6993,186,NA,NA,163,NA,NA,91,27775,20782,0,NA,"M"
"168",1981,8,"CO",4,"Colorado",3061569,2099,560,681,26,NA,NA,6,NA,NA,0,2691,2010,0,NA,"M"
"169",1981,9,"CT",1,"Connecticut",3139012,2437,1973,666,4,NA,NA,0,NA,NA,0,4414,3748,0,NA,"M"
"170",1981,10,"DE",3,"Delaware",599136,665,972,20,0,NA,NA,0,NA,NA,0,1637,0,1617,NA,"M"
"171",1981,11,"DC",3,"District of Columbia",634171,99,3264,NA,0,NA,NA,0,NA,NA,0,3363,NA,3363,NA,"M"
"172",1981,12,"FL",3,"Florida",10471407,11756,10778,318,3,NA,NA,4,NA,NA,54,22595,22277,0,NA,"M"
"173",1981,13,"GA",3,"Georgia",5649793,4873,6960,2,0,NA,NA,0,NA,NA,6,11839,0,11837,NA,"M"
"174",1981,15,"HI",4,"Hawaii",993802,264,41,0,10,NA,NA,747,NA,NA,96,1158,1158,0,NA,"M"
"175",1981,16,"ID",4,"Idaho",973729,876,25,92,29,NA,NA,2,NA,NA,0,932,840,0,NA,"M"
"176",1981,17,"IL",2,"Illinois",11423414,4819,7958,528,20,NA,NA,6,NA,NA,0,12803,12275,0,NA,"M"
"177",1981,18,"IN",2,"Indiana",5467927,5072,2659,70,4,NA,NA,1,NA,NA,0,7736,7666,0,NA,"M"
