"","YEAR","STATEID","STATE","REGION","state_name","Population","CAPRATE","CAPOP","CAPDES","gender"
"224",1982,10,"DE",3,"Delaware",605415,NA,NA,NA,"M"
"225",1982,11,"DC",3,"District of Columbia",632439,NA,NA,NA,"M"
"226",1982,12,"FL",3,"Florida",10749845,NA,NA,NA,"M"
"227",1982,13,"GA",3,"Georgia",5728254,NA,NA,NA,"M"
"228",1982,15,"HI",4,"Hawaii",1012717,NA,NA,NA,"M"
"229",1982,16,"ID",4,"Idaho",981858,NA,NA,NA,"M"
"230",1982,17,"IL",2,"Illinois",11408823,NA,NA,NA,"M"
"231",1982,18,"IN",2,"Indiana",5450402,NA,NA,NA,"M"
"232",1982,19,"IA",2,"Iowa",2870550,NA,NA,NA,"M"
"233",1982,20,"KS",2,"Kansas",2415537,NA,NA,NA,"M"
"234",1982,21,"KY",3,"Kentucky",3694480,NA,NA,NA,"M"
"235",1982,22,"LA",3,"Louisiana",4395316,NA,NA,NA,"M"
"236",1982,23,"ME",1,"Maine",1144769,NA,NA,NA,"M"
"237",1982,24,"MD",3,"Maryland",4313319,NA,NA,NA,"M"
"238",1982,25,"MA",1,"Massachusetts",5799403,NA,NA,NA,"M"
"239",1982,26,"MI",2,"Michigan",9047753,NA,NA,NA,"M"
"240",1982,27,"MN",2,"Minnesota",4141438,NA,NA,NA,"M"
"241",1982,28,"MS",3,"Mississippi",2567730,NA,NA,NA,"M"
"242",1982,29,"MO",2,"Missouri",4943727,NA,NA,NA,"M"
"243",1982,30,"MT",4,"Montana",814028,NA,NA,NA,"M"
"244",1982,31,"NE",2,"Nebraska",1584301,NA,NA,NA,"M"
"245",1982,32,"NV",4,"Nevada",901974,NA,NA,NA,"M"
"246",1982,33,"NH",1,"New Hampshire",958125,NA,NA,NA,"M"
"247",1982,34,"NJ",1,"New Jersey",7467789,NA,NA,NA,"M"
"248",1982,35,"NM",4,"New Mexico",1394352,NA,NA,NA,"M"
"249",1982,36,"NY",1,"New York",17686905,NA,NA,NA,"M"
"250",1982,37,"NC",3,"North Carolina",6077066,NA,NA,NA,"M"
"251",1982,38,"ND",2,"North Dakota",676685,NA,NA,NA,"M"
"252",1982,39,"OH",2,"Ohio",10737635,NA,NA,NA,"M"
"253",1982,40,"OK",3,"Oklahoma",3290404,NA,NA,NA,"M"
"254",1982,41,"OR",4,"Oregon",2653058,NA,NA,NA,"M"
"255",1982,42,"PA",1,"Pennsylvania",11837728,NA,NA,NA,"M"
"256",1982,44,"RI",1,"Rhode Island",956376,NA,NA,NA,"M"
"257",1982,45,"SC",3,"South Carolina",3234074,NA,NA,NA,"M"
"258",1982,46,"SD",2,"South Dakota",692985,NA,NA,NA,"M"
"259",1982,47,"TN",3,"Tennessee",4659755,NA,NA,NA,"M"
"260",1982,48,"TX",3,"Texas",15751678,NA,NA,NA,"M"
"261",1982,49,"UT",4,"Utah",1594939,NA,NA,NA,"M"
"262",1982,50,"VT",1,"Vermont",523308,NA,NA,NA,"M"
"263",1982,51,"VA",3,"Virginia",5564658,NA,NA,NA,"M"
"264",1982,53,"WA",4,"Washington",4300270,NA,NA,NA,"M"
"265",1982,54,"WV",3,"West Virginia",1945065,NA,NA,NA,"M"
"266",1982,55,"WI",2,"Wisconsin",4721445,NA,NA,NA,"M"
"267",1982,56,"WY",4,"Wyoming",510329,NA,NA,NA,"M"
"268",1982,60,"ST",7,"State prison total",NA,NA,NA,NA,"M"
"269",1982,70,"US",5,"US prison total (state+federal)",NA,NA,NA,NA,"M"
"270",1982,99,"FE",6,"Federal BOP",NA,NA,NA,NA,"M"
"271",1983,1,"AL",3,"Alabama",3951826,NA,NA,NA,"M"
"272",1983,2,"AK",4,"Alaska",513703,NA,NA,NA,"M"
"273",1983,4,"AZ",4,"Arizona",3067142,NA,NA,NA,"M"
"274",1983,5,"AR",3,"Arkansas",2319774,NA,NA,NA,"M"
"275",1983,6,"CA",4,"California",25844389,NA,NA,NA,"M"
"276",1983,8,"CO",4,"Colorado",3169987,NA,NA,NA,"M"
"277",1983,9,"CT",1,"Connecticut",3180023,NA,NA,NA,"M"
"278",1983,10,"DE",3,"Delaware",611517,NA,NA,NA,"M"
"279",1983,11,"DC",3,"District of Columbia",633382,NA,NA,NA,"M"
"280",1983,12,"FL",3,"Florida",11039921,NA,NA,NA,"M"
"281",1983,13,"GA",3,"Georgia",5834957,NA,NA,NA,"M"
"282",1983,15,"HI",4,"Hawaii",1027935,NA,NA,NA,"M"
"283",1983,16,"ID",4,"Idaho",990841,NA,NA,NA,"M"
"284",1983,17,"IL",2,"Illinois",11412138,NA,NA,NA,"M"
"285",1983,18,"IN",2,"Indiana",5458328,NA,NA,NA,"M"
"286",1983,19,"IA",2,"Iowa",2858624,NA,NA,NA,"M"
"287",1983,20,"KS",2,"Kansas",2424076,NA,NA,NA,"M"
"288",1983,21,"KY",3,"Kentucky",3695451,NA,NA,NA,"M"
"289",1983,22,"LA",3,"Louisiana",4400474,NA,NA,NA,"M"
"290",1983,23,"ME",1,"Maine",1155630,NA,NA,NA,"M"
"291",1983,24,"MD",3,"Maryland",4365238,NA,NA,NA,"M"
"292",1983,25,"MA",1,"Massachusetts",5840772,NA,NA,NA,"M"
"293",1983,26,"MI",2,"Michigan",9049446,NA,NA,NA,"M"
"294",1983,27,"MN",2,"Minnesota",4157698,NA,NA,NA,"M"
"295",1983,28,"MS",3,"Mississippi",2578058,NA,NA,NA,"M"
"296",1983,29,"MO",2,"Missouri",4975283,NA,NA,NA,"M"
"297",1983,30,"MT",4,"Montana",820893,NA,NA,NA,"M"
"298",1983,31,"NE",2,"Nebraska",1588629,NA,NA,NA,"M"
"299",1983,32,"NV",4,"Nevada",924905,NA,NA,NA,"M"
"300",1983,33,"NH",1,"New Hampshire",976864,NA,NA,NA,"M"
"301",1983,34,"NJ",1,"New Jersey",7515478,NA,NA,NA,"M"
"302",1983,35,"NM",4,"New Mexico",1416665,NA,NA,NA,"M"
"303",1983,36,"NY",1,"New York",17745690,NA,NA,NA,"M"
"304",1983,37,"NC",3,"North Carolina",6164014,NA,NA,NA,"M"
"305",1983,38,"ND",2,"North Dakota",680498,NA,NA,NA,"M"
"306",1983,39,"OH",2,"Ohio",10737746,NA,NA,NA,"M"
"307",1983,40,"OK",3,"Oklahoma",3285528,NA,NA,NA,"M"
"308",1983,41,"OR",4,"Oregon",2666592,NA,NA,NA,"M"
"309",1983,42,"PA",1,"Pennsylvania",11815171,NA,NA,NA,"M"
"310",1983,44,"RI",1,"Rhode Island",961901,NA,NA,NA,"M"
"311",1983,45,"SC",3,"South Carolina",3271861,NA,NA,NA,"M"
"312",1983,46,"SD",2,"South Dakota",697239,NA,NA,NA,"M"
"313",1983,47,"TN",3,"Tennessee",4686740,NA,NA,NA,"M"
"314",1983,48,"TX",3,"Texas",16007077,NA,NA,NA,"M"
"315",1983,49,"UT",4,"Utah",1622341,NA,NA,NA,"M"
"316",1983,50,"VT",1,"Vermont",526658,NA,NA,NA,"M"
"317",1983,51,"VA",3,"Virginia",5643860,NA,NA,NA,"M"
"318",1983,53,"WA",4,"Washington",4343650,NA,NA,NA,"M"
"319",1983,54,"WV",3,"West Virginia",1927701,NA,NA,NA,"M"
"320",1983,55,"WI",2,"Wisconsin",4735576,NA,NA,NA,"M"
"321",1983,56,"WY",4,"Wyoming",504893,NA,NA,NA,"M"
"322",1983,60,"ST",7,"State prison total",NA,NA,NA,NA,"M"
"323",1983,70,"US",5,"US prison total (state+federal)",NA,NA,NA,NA,"M"
"324",1983,99,"FE",6,"Federal BOP",NA,NA,NA,NA,"M"
"325",1984,1,"AL",3,"Alabama",3972520,NA,NA,NA,"M"
"326",1984,2,"AK",4,"Alaska",532492,NA,NA,NA,"M"
"327",1984,4,"AZ",4,"Arizona",3183535,NA,NA,NA,"M"
"328",1984,5,"AR",3,"Arkansas",2327044,NA,NA,NA,"M"
"329",1984,6,"CA",4,"California",26441112,NA,NA,NA,"M"
"330",1984,8,"CO",4,"Colorado",3208717,NA,NA,NA,"M"
"331",1984,9,"CT",1,"Connecticut",3201128,NA,NA,NA,"M"
"332",1984,10,"DE",3,"Delaware",618284,NA,NA,NA,"M"
"333",1984,11,"DC",3,"District of Columbia",634543,NA,NA,NA,"M"
"334",1984,12,"FL",3,"Florida",11351122,NA,NA,NA,"M"
"335",1984,13,"GA",3,"Georgia",5962668,NA,NA,NA,"M"
"336",1984,15,"HI",4,"Hawaii",1039683,NA,NA,NA,"M"
"337",1984,16,"ID",4,"Idaho",994046,NA,NA,NA,"M"
"338",1984,17,"IL",2,"Illinois",11399804,NA,NA,NA,"M"
"339",1984,18,"IN",2,"Indiana",5459216,NA,NA,NA,"M"
"340",1984,19,"IA",2,"Iowa",2829685,NA,NA,NA,"M"
"341",1984,20,"KS",2,"Kansas",2427412,NA,NA,NA,"M"
"342",1984,21,"KY",3,"Kentucky",3694827,NA,NA,NA,"M"
"343",1984,22,"LA",3,"Louisiana",4408121,NA,NA,NA,"M"
"344",1984,23,"ME",1,"Maine",1162935,NA,NA,NA,"M"
"345",1984,24,"MD",3,"Maryland",4413075,NA,NA,NA,"M"
"346",1984,25,"MA",1,"Massachusetts",5880743,NA,NA,NA,"M"
"347",1984,26,"MI",2,"Michigan",9076297,NA,NA,NA,"M"
"348",1984,27,"MN",2,"Minnesota",4184286,NA,NA,NA,"M"
"349",1984,28,"MS",3,"Mississippi",2588097,NA,NA,NA,"M"
"350",1984,29,"MO",2,"Missouri",5000254,NA,NA,NA,"M"
"351",1984,30,"MT",4,"Montana",822305,NA,NA,NA,"M"
"352",1984,31,"NE",2,"Nebraska",1584662,NA,NA,NA,"M"
"353",1984,32,"NV",4,"Nevada",951024,NA,NA,NA,"M"
"354",1984,33,"NH",1,"New Hampshire",996757,NA,NA,NA,"M"
"355",1984,34,"NJ",1,"New Jersey",7565519,NA,NA,NA,"M"
"356",1984,35,"NM",4,"New Mexico",1438371,NA,NA,NA,"M"
"357",1984,36,"NY",1,"New York",17791670,NA,NA,NA,"M"
"358",1984,37,"NC",3,"North Carolina",6253989,NA,NA,NA,"M"
"359",1984,38,"ND",2,"North Dakota",676991,NA,NA,NA,"M"
"360",1984,39,"OH",2,"Ohio",10734920,NA,NA,NA,"M"
"361",1984,40,"OK",3,"Oklahoma",3271332,NA,NA,NA,"M"
"362",1984,41,"OR",4,"Oregon",2672648,NA,NA,NA,"M"
"363",1984,42,"PA",1,"Pennsylvania",11770855,NA,NA,NA,"M"
"364",1984,44,"RI",1,"Rhode Island",968950,NA,NA,NA,"M"
"365",1984,45,"SC",3,"South Carolina",3303208,NA,NA,NA,"M"
"366",1984,46,"SD",2,"South Dakota",698400,NA,NA,NA,"M"
"367",1984,47,"TN",3,"Tennessee",4715287,NA,NA,NA,"M"
"368",1984,48,"TX",3,"Texas",16272735,NA,NA,NA,"M"
"369",1984,49,"UT",4,"Utah",1642907,NA,NA,NA,"M"
"370",1984,50,"VT",1,"Vermont",530029,NA,NA,NA,"M"
"371",1984,51,"VA",3,"Virginia",5715156,NA,NA,NA,"M"
