"","YEAR","STATEID","STATE","REGION","state_name","Population","CAPRATEM","CAPRATEF","CAPOPM","CAPOPF","CAPDESM","CAPDESF","CAPRATET","CAPOPT","CAPDEST"
"225",1982,11,"DC",3,"District of Columbia",632439,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",1982,12,"FL",3,"Florida",10749845,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",1982,13,"GA",3,"Georgia",5728254,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",1982,15,"HI",4,"Hawaii",1012717,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",1982,16,"ID",4,"Idaho",981858,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",1982,17,"IL",2,"Illinois",11408823,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",1982,18,"IN",2,"Indiana",5450402,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",1982,19,"IA",2,"Iowa",2870550,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",1982,20,"KS",2,"Kansas",2415537,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",1982,21,"KY",3,"Kentucky",3694480,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",1982,22,"LA",3,"Louisiana",4395316,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",1982,23,"ME",1,"Maine",1144769,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237",1982,24,"MD",3,"Maryland",4313319,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",1982,25,"MA",1,"Massachusetts",5799403,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",1982,26,"MI",2,"Michigan",9047753,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",1982,27,"MN",2,"Minnesota",4141438,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241",1982,28,"MS",3,"Mississippi",2567730,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",1982,29,"MO",2,"Missouri",4943727,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243",1982,30,"MT",4,"Montana",814028,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244",1982,31,"NE",2,"Nebraska",1584301,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245",1982,32,"NV",4,"Nevada",901974,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246",1982,33,"NH",1,"New Hampshire",958125,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247",1982,34,"NJ",1,"New Jersey",7467789,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248",1982,35,"NM",4,"New Mexico",1394352,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249",1982,36,"NY",1,"New York",17686905,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250",1982,37,"NC",3,"North Carolina",6077066,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",1982,38,"ND",2,"North Dakota",676685,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252",1982,39,"OH",2,"Ohio",10737635,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",1982,40,"OK",3,"Oklahoma",3290404,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254",1982,41,"OR",4,"Oregon",2653058,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",1982,42,"PA",1,"Pennsylvania",11837728,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256",1982,44,"RI",1,"Rhode Island",956376,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",1982,45,"SC",3,"South Carolina",3234074,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258",1982,46,"SD",2,"South Dakota",692985,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259",1982,47,"TN",3,"Tennessee",4659755,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",1982,48,"TX",3,"Texas",15751678,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",1982,49,"UT",4,"Utah",1594939,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",1982,50,"VT",1,"Vermont",523308,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263",1982,51,"VA",3,"Virginia",5564658,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264",1982,53,"WA",4,"Washington",4300270,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",1982,54,"WV",3,"West Virginia",1945065,NA,NA,NA,NA,NA,NA,NA,NA,NA
