"","YEAR","STATEID","STATE","REGION","state_name","Population","DTHEXECM","DTHEXECF","DTHILLNM","DTHILLNF","DTHAIDSM","DTHAIDSF","DTHSUICM","DTHSUICF","DTHACCM","DTHACCF","DTHHOMIM","DTHHOMIF","DTHHOMOM","DTHHOMOF","DTHPERSM","DTHPERSF","DTHOTHM","DTHOTHF","DTHTOTM","DTHTOTF"
"94",1979,44,"RI",1,"Rhode Island",950382,0,0,1,0,NA,NA,1,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"95",1979,45,"SC",3,"South Carolina",3090267,0,0,13,0,NA,NA,5,0,0,0,NA,NA,NA,NA,1,0,0,0,NA,NA
"96",1979,46,"SD",2,"South Dakota",688335,0,0,1,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"97",1979,47,"TN",3,"Tennessee",4560473,0,0,6,0,NA,NA,1,1,1,0,NA,NA,NA,NA,7,0,0,0,NA,NA
"98",1979,48,"TX",3,"Texas",13888371,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,63,0,NA,NA
"99",1979,49,"UT",4,"Utah",1420238,0,0,0,0,NA,NA,1,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"100",1979,50,"VT",1,"Vermont",505372,NA,NA,0,0,NA,NA,1,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"101",1979,51,"VA",3,"Virginia",5307945,0,0,5,0,NA,NA,0,0,2,0,NA,NA,NA,NA,1,0,1,0,NA,NA
"102",1979,53,"WA",4,"Washington",4017632,0,0,6,0,NA,NA,1,0,0,0,NA,NA,NA,NA,3,0,0,0,NA,NA
"103",1979,54,"WV",3,"West Virginia",1942146,NA,NA,3,0,NA,NA,1,0,1,0,NA,NA,NA,NA,0,0,1,0,NA,NA
"104",1979,55,"WI",2,"Wisconsin",4682811,NA,NA,4,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"105",1979,56,"WY",4,"Wyoming",454378,0,0,0,0,NA,NA,1,0,0,0,NA,NA,NA,NA,2,0,0,0,NA,NA
"106",1979,60,"ST",7,"State prison total",NA,2,0,267,10,NA,NA,74,1,20,0,NA,NA,NA,NA,68,0,171,2,NA,NA
"107",1979,70,"US",5,"US prison total (state+federal)",NA,2,0,301,11,NA,NA,83,1,20,0,NA,NA,NA,NA,84,0,177,2,NA,NA
"108",1979,99,"FE",6,"Federal BOP",NA,0,0,34,1,NA,NA,9,0,0,0,NA,NA,NA,NA,16,0,6,0,NA,NA
"109",1980,1,"AL",3,"Alabama",3918531,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,15,1,NA,NA
"110",1980,2,"AK",4,"Alaska",418488,NA,NA,1,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"111",1980,4,"AZ",4,"Arizona",2810127,0,0,4,0,NA,NA,1,0,0,0,NA,NA,NA,NA,1,0,2,0,NA,NA
"112",1980,5,"AR",3,"Arkansas",2293195,0,0,8,0,NA,NA,1,0,0,0,NA,NA,NA,NA,2,0,1,0,NA,NA
