"","YEAR","STATE","REGION","state_name","Population","JURTOT","PVIN","PVOTH","PVINCL","LF","LFINCL","LFCROWD","LFCRINC","FED","OTHST","FACINCL","FACROWD","gender"
"79",1979,"MS",3,"Mississippi",2507069,3401,NA,NA,NA,NA,NA,1320,NA,NA,NA,NA,NA,"M"
"80",1979,"MO",2,"Missouri",4912430,5076,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"81",1979,"MT",4,"Montana",787305,695,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"82",1979,"NE",2,"Nebraska",1567344,1228,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"83",1979,"NV",4,"Nevada",765367,1475,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"84",1979,"NH",1,"New Hampshire",909074,311,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"85",1979,"NJ",1,"New Jersey",7366512,5664,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,"M"
"86",1979,"NM",4,"New Mexico",1284722,1509,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"87",1979,"NY",1,"New York",17583838,20259,NA,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,"M"
"88",1979,"NC",3,"North Carolina",5823491,13691,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"89",1979,"ND",2,"North Dakota",652896,184,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"90",1979,"OH",2,"Ohio",10798298,12762,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"91",1979,"OK",3,"Oklahoma",2975310,4073,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"92",1979,"OR",4,"Oregon",2588012,3059,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"93",1979,"PA",1,"Pennsylvania",11887975,7524,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"94",1979,"RI",1,"Rhode Island",950382,721,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"95",1979,"SC",3,"South Carolina",3090267,7327,NA,NA,NA,NA,NA,630,NA,NA,NA,NA,NA,"M"
"96",1979,"SD",2,"South Dakota",688335,538,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"97",1979,"TN",3,"Tennessee",4560473,6346,NA,NA,NA,NA,NA,212,NA,NA,NA,NA,NA,"M"
"98",1979,"TX",3,"Texas",13888371,25355,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"99",1979,"UT",4,"Utah",1420238,926,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"100",1979,"VT",1,"Vermont",505372,420,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"101",1979,"VA",3,"Virginia",5307945,8148,NA,NA,NA,NA,NA,771,NA,NA,NA,NA,NA,"M"
"102",1979,"WA",4,"Washington",4017632,4137,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA,"M"
"103",1979,"WV",3,"West Virginia",1942146,1218,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"104",1979,"WI",2,"Wisconsin",4682811,3532,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"105",1979,"WY",4,"Wyoming",454378,474,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"106",1979,"ST",7,"State prison total",NA,276627,NA,NA,NA,NA,NA,6318,NA,NA,NA,NA,0,"M"
"107",1979,"US",5,"US prison total (state+federal)",NA,301462,NA,NA,NA,NA,NA,6318,NA,NA,NA,NA,0,"M"
"108",1979,"FE",6,"Federal BOP",NA,24835,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"109",1980,"AL",3,"Alabama",3918531,6278,NA,NA,NA,NA,NA,1383,NA,NA,NA,NA,NA,"M"
"110",1980,"AK",4,"Alaska",418488,801,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"111",1980,"AZ",4,"Arizona",2810127,4153,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"112",1980,"AR",3,"Arkansas",2293195,2805,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"113",1980,"CA",4,"California",24285937,23253,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"114",1980,"CO",4,"Colorado",2977895,2560,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
