"","YEAR","STATE","REGION","state_name","Population","ADDRACE","AIAN","API","ASIAN","BLACK","HISP","NHPI","NOTHISP","TOTHCAT","TOTRACE","TWORACE","UNKHISP","UNKRACE","WHITE"
"76",1979,"MA",1,"Massachusetts",5738404,0,1,1,0,1068,150,0,2774,0,2924,0,0,0,1854
"77",1979,"MI",2,"Michigan",9266268,0,60,2,0,8143,229,0,13680,0,15002,0,1093,1345,5452
"78",1979,"MN",2,"Minnesota",4050316,0,174,0,0,364,27,0,2067,0,2094,0,0,28,1528
"79",1979,"MS",3,"Mississippi",2507069,0,5,1,0,2217,2,0,3399,0,3458,0,57,59,1176
"80",1979,"MO",2,"Missouri",4912430,0,0,0,0,2834,9,0,5546,0,5555,0,0,0,2721
"81",1979,"MT",4,"Montana",787305,0,126,0,0,12,16,0,752,0,768,0,0,0,630
"82",1979,"NE",2,"Nebraska",1567344,0,46,1,0,390,44,0,1197,0,1241,0,0,0,804
"83",1979,"NV",4,"Nevada",765367,0,29,8,0,447,60,0,1506,0,1566,0,1,1,1081
"84",1979,"NH",1,"New Hampshire",909074,0,1,0,0,6,2,0,314,0,316,0,0,0,309
"85",1979,"NJ",1,"New Jersey",7366512,0,0,0,0,3642,454,0,5398,0,5852,0,0,0,2210
"86",1979,"NM",4,"New Mexico",1284722,0,31,0,0,170,858,0,689,0,1547,0,0,0,1346
"87",1979,"NY",1,"New York",17583838,0,0,0,0,11221,4115,0,17043,0,21158,0,0,131,9806
"88",1979,"NC",3,"North Carolina",5823491,0,318,2,0,7682,0,0,14209,0,14253,0,44,44,6207
"89",1979,"ND",2,"North Dakota",652896,0,30,0,0,2,5,0,181,0,186,0,0,5,149
"90",1979,"OH",2,"Ohio",10798298,0,0,0,0,6768,0,0,0,0,13360,0,13360,0,6592
"91",1979,"OK",3,"Oklahoma",2975310,0,256,0,0,1193,0,0,0,0,4250,0,4250,44,2757
"92",1979,"OR",4,"Oregon",2588012,0,142,4,0,371,92,0,3090,0,3182,0,0,120,2545
"93",1979,"PA",1,"Pennsylvania",11887975,0,1,5,0,4292,0,0,0,0,7879,0,7879,0,3581
"94",1979,"RI",1,"Rhode Island",950382,0,0,0,0,199,23,0,722,0,745,0,0,0,546
"95",1979,"SC",3,"South Carolina",3090267,0,7,0,0,4344,0,0,0,0,7643,0,7643,0,3292
"96",1979,"SD",2,"South Dakota",688335,0,125,0,0,12,5,0,557,0,562,0,0,0,425
"97",1979,"TN",3,"Tennessee",4560473,0,0,0,0,3126,0,0,0,0,6629,0,6629,0,3503
"98",1979,"TX",3,"Texas",13888371,0,0,0,0,11416,4774,0,21748,0,26522,0,0,0,15106
"99",1979,"UT",4,"Utah",1420238,0,14,7,0,82,139,0,821,0,960,0,0,0,857
"100",1979,"VT",1,"Vermont",505372,0,1,0,0,4,0,0,431,0,431,0,0,0,426
"101",1979,"VA",3,"Virginia",5307945,0,0,0,0,4977,0,0,0,0,8449,0,8449,42,3430
"102",1979,"WA",4,"Washington",4017632,0,177,41,0,918,200,0,4312,0,4512,0,0,19,3357
"103",1979,"WV",3,"West Virginia",1942146,0,1,0,0,239,0,0,1251,0,1251,0,0,0,1011
"104",1979,"WI",2,"Wisconsin",4682811,0,103,0,0,1346,91,0,3343,0,3434,0,0,0,1985
"105",1979,"WY",4,"Wyoming",454378,0,48,1,0,17,58,0,419,0,477,0,0,0,411
"106",1979,"ST",7,"State prison total",NA,0,2451,670,0,135840,19426,0,172651,0,287635,0,95559,2418,146256
"107",1979,"US",5,"US prison total (state+federal)",NA,0,2928,749,0,145383,23193,0,194396,0,314006,0,96418,3304,161642
"108",1979,"FE",6,"Federal BOP",NA,0,477,79,0,9543,3767,0,21745,0,26371,0,859,886,15386
"109",1980,"AL",3,"Alabama",3918531,0,0,0,0,3675,0,0,5961,0,5961,0,0,0,2286
"110",1980,"AK",4,"Alaska",418488,0,261,0,0,94,0,0,0,0,822,0,822,28,439
"111",1980,"AZ",4,"Arizona",2810127,0,149,5,0,882,1090,0,3282,0,4372,0,0,18,3318
"112",1980,"AR",3,"Arkansas",2293195,0,0,0,0,1642,0,0,2925,0,2925,0,0,0,1283
"113",1980,"CA",4,"California",24285937,0,254,189,0,8462,5931,0,18638,0,24569,0,0,90,15574
"114",1980,"CO",4,"Colorado",2977895,0,20,11,0,617,776,0,2016,0,2792,0,0,0,2144
"115",1980,"CT",1,"Connecticut",3128839,0,3,0,0,1781,549,0,3759,0,4308,0,0,0,2524
"116",1980,"DE",3,"Delaware",595971,0,1,0,0,925,0,0,0,0,1474,0,1474,0,548
"117",1980,"DC",3,"District of Columbia",636894,0,0,0,0,3051,0,0,0,0,3145,0,3145,0,94
"118",1980,"FL",3,"Florida",10192778,0,2,3,0,9917,284,0,10,0,20735,0,20441,284,10529
"119",1980,"GA",3,"Georgia",5568343,0,3,0,0,7151,3,0,0,0,12210,0,12207,7,5049
"120",1980,"HI",4,"Hawaii",978174,0,0,426,0,25,0,0,0,0,985,0,985,409,125
"121",1980,"ID",4,"Idaho",962203,0,26,2,0,22,75,0,742,0,817,0,0,0,767
"122",1980,"IL",2,"Illinois",11443461,0,0,0,0,7394,553,0,11346,0,11899,0,0,0,4505
"123",1980,"IN",2,"Indiana",5480425,0,6,2,0,1833,58,0,6625,0,6683,0,0,0,4842
"124",1980,"IA",2,"Iowa",2907975,0,34,4,0,464,38,0,2475,0,2513,0,0,0,2011
"125",1980,"KS",2,"Kansas",2384859,0,48,3,0,830,76,0,2418,0,2494,0,0,0,1613
