"","YEAR","STATEID","STATE","REGION","state_name","Population","CUSGT1M","CUSGT1F","CUSLT1M","CUSLT1F","CUSUNSM","CUSUNSF","CUSTOTM","CUSTOTF","CUSGT1T","CUSLT1T","CUSUNST","CUSTOTT","CNOPRIVM","CNOPRIVF","CWPRIVM","CWPRIVF","JURGT1M","JURGT1F","JURLT1M","JURLT1F","JURUNSM","JURUNSF","JURTOTM","JURTOTF","PVINM","PVINF","PVOTHM","PVOTHF","PVINCLM","PVINCLF","LFM","LFF","LFINCLM","LFINCLF","LFCROWDM","LFCROWDF","LFCRSTM","LFCRSTF","LFCRINCM","LFCRINCF","FEDM","FEDF","OTHSTM","OTHSTF","FACINCLM","FACINCLF","FACROWDM","FACROWDF","CUSLT18M","CUSLT18F","CUSCTZNM","CUSCTZNF"
"27",1978,30,"MT",4,"Montana",782317,NA,NA,NA,NA,NA,NA,NA,NA,633,2,12,647,NA,NA,NA,NA,665,15,2,0,8,0,675,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1978,31,"NE",2,"Nebraska",1563884,NA,NA,NA,NA,NA,NA,NA,NA,1218,86,22,1326,NA,NA,NA,NA,1176,66,69,17,19,0,1264,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1978,32,"NV",4,"Nevada",719436,NA,NA,NA,NA,NA,NA,NA,NA,1353,0,6,1359,NA,NA,NA,NA,1274,76,0,0,0,0,1274,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1978,33,"NH",1,"New Hampshire",891520,NA,NA,NA,NA,NA,NA,NA,NA,244,0,20,264,NA,NA,NA,NA,277,6,0,0,0,0,277,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1978,34,"NJ",1,"New Jersey",7350804,NA,NA,NA,NA,NA,NA,NA,NA,5422,447,0,5869,NA,NA,NA,NA,5246,176,447,0,0,0,5693,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1978,35,"NM",4,"New Mexico",1238034,NA,NA,NA,NA,NA,NA,NA,NA,1459,88,9,1556,NA,NA,NA,NA,1440,65,86,2,0,0,1526,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1978,36,"NY",1,"New York",17680589,NA,NA,NA,NA,NA,NA,NA,NA,20190,0,0,20190,NA,NA,NA,NA,19899,560,0,0,0,0,19899,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1978,37,"NC",3,"North Carolina",5759492,NA,NA,NA,NA,NA,NA,NA,NA,12268,984,98,13350,NA,NA,NA,NA,11822,446,896,88,0,0,12718,534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1978,38,"ND",2,"North Dakota",651301,NA,NA,NA,NA,NA,NA,NA,NA,198,62,0,260,NA,NA,NA,NA,136,2,60,2,0,0,196,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1978,39,"OH",2,"Ohio",10795581,NA,NA,NA,NA,NA,NA,NA,NA,13107,0,0,13107,NA,NA,NA,NA,12569,538,0,0,0,0,12569,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
