"","YEAR","STATEID","STATE","REGION","state_name","Population","RLUNEXPM","RLUNEXPF","RLUNCOMM","RLUNCOMF","RLUNOTHM","RLUNOTHF","RLCOPROM","RLCOPROF","RLCOSUPM","RLCOSUPF","RLCODPM","RLCODPF","RLCOOTHM","RLCOOTHF","RLDEATHM","RLDEATHF","RLAWOLM","RLAWOLF","RLESCAPM","RLESCAPF","RLAWESM","RLAWESF","RLTRANM","RLTRANF","RLBONDM","RLBONDF","RLOTHM","RLOTHF","RLTOTM","RLTOTF"
"45",1978,49,"UT",4,"Utah",1367510,2,0,0,0,4,1,0,0,0,0,239,12,0,0,NA,NA,42,5,31,3,NA,NA,0,0,6,0,1,0,325,21
"46",1978,50,"VT",1,"Vermont",498109,0,0,0,0,1,0,108,2,14,1,136,3,2,0,NA,NA,0,0,40,0,NA,NA,0,0,1,0,0,0,303,6
"47",1978,51,"VA",3,"Virginia",5270240,906,54,29,2,0,1,0,0,0,0,1370,74,6,2,NA,NA,0,0,87,2,NA,NA,199,12,6,0,3,0,2620,148
"48",1978,53,"WA",4,"Washington",3889073,3,0,3,0,0,0,0,0,0,0,1654,140,4,0,NA,NA,174,17,102,4,NA,NA,0,0,0,0,0,0,1954,161
"49",1978,54,"WV",3,"West Virginia",1923395,54,3,0,0,10,0,2,3,0,0,310,22,21,4,NA,NA,0,0,36,0,NA,NA,0,0,0,6,0,0,436,38
"50",1978,55,"WI",2,"Wisconsin",4646108,53,2,0,0,38,9,0,0,501,22,775,51,0,0,NA,NA,0,0,81,11,NA,NA,0,0,0,0,0,0,1452,95
"51",1978,56,"WY",4,"Wyoming",432880,62,3,0,0,0,0,22,4,0,0,92,6,0,0,NA,NA,0,0,4,0,NA,NA,0,0,3,0,0,0,186,13
"52",1978,60,"ST",7,"State prison total",NA,19544,852,733,50,526,51,3550,388,6678,313,79622,4695,2597,197,NA,NA,897,75,5670,382,NA,NA,3520,238,1827,183,2726,140,128452,7581
"53",1978,70,"US",5,"US prison total (state+federal)",NA,23309,1096,733,58,644,62,3550,388,9935,440,85498,5086,2597,197,NA,NA,897,75,6275,403,NA,NA,3907,262,1893,191,5723,633,145574,8910
"54",1978,99,"FE",6,"Federal BOP",NA,3765,244,0,8,118,11,0,0,3257,127,5876,391,0,0,NA,NA,0,0,605,21,NA,NA,387,24,66,8,2997,493,17122,1329
"55",1979,1,"AL",3,"Alabama",3866248,685,29,0,0,38,4,212,30,0,0,1565,144,0,0,NA,NA,NA,NA,NA,NA,230,6,23,2,19,0,0,0,2790,215
"56",1979,2,"AK",4,"Alaska",402753,0,0,0,0,0,0,0,0,113,6,95,0,0,0,NA,NA,NA,NA,NA,NA,3,0,73,3,0,0,0,2,284,11
"57",1979,4,"AZ",4,"Arizona",2635571,32,2,12,4,0,0,84,27,216,47,160,20,1003,20,NA,NA,NA,NA,NA,NA,227,26,56,2,3,0,0,0,1800,149
"58",1979,5,"AR",3,"Arkansas",2271333,180,7,0,0,5,0,0,0,0,0,1367,87,34,5,NA,NA,NA,NA,NA,NA,19,0,4,0,0,0,185,0,1796,99
"59",1979,6,"CA",4,"California",23256880,398,20,0,0,78,11,0,0,9422,531,0,0,0,0,NA,NA,NA,NA,NA,NA,181,5,367,128,0,0,2749,297,13236,994
"60",1979,8,"CO",4,"Colorado",2849234,167,5,0,0,20,1,98,11,0,0,859,36,0,0,NA,NA,NA,NA,NA,NA,75,14,11,4,11,2,0,0,1244,73
"61",1979,9,"CT",1,"Connecticut",3095917,1240,117,40,2,0,0,0,0,0,0,1212,115,0,0,NA,NA,NA,NA,NA,NA,67,21,29,2,0,0,5,0,2593,257
"62",1979,10,"DE",3,"Delaware",594984,76,5,1,0,22,0,0,0,64,5,160,13,0,0,NA,NA,NA,NA,NA,NA,19,1,3,0,0,0,7,1,354,25
"63",1979,11,"DC",3,"District of Columbia",650016,525,18,0,0,0,0,0,0,115,5,850,34,0,0,NA,NA,NA,NA,NA,NA,197,23,355,70,0,0,0,0,2054,150
