"","YEAR","STATEID","STATE","REGION","state_name","Population","WHITEM","WHITEF","BLACKM","BLACKF","HISPM","HISPF","AIANM","AIANF","ASIANM","ASIANF","NHPIM","NHPIF","APIM","APIF","TWORACEM","TWORACEF","ADDRACEM","ADDRACEF","UNKRACEM","UNKRACEF","TOTRACEM","TOTRACEF","NOTHISPM","NOTHISPF","UNKHISPM","UNKHISPF","TOTHCATM","TOTHCATF"
"52",1978,60,"ST",7,"State prison total",NA,135423,4947,126469,5509,11020,415,1990,139,NA,NA,NA,NA,613,30,NA,NA,0,0,1412,267,265907,10892,123006,4706,131881,5771,NA,NA
"53",1978,70,"US",5,"US prison total (state+federal)",NA,151534,5674,136893,6483,15081,633,2423,161,NA,NA,NA,NA,667,32,NA,NA,0,0,2365,370,293882,12720,146021,6218,132780,5869,NA,NA
"54",1978,99,"FE",6,"Federal BOP",NA,16111,727,10424,974,4061,218,433,22,NA,NA,NA,NA,54,2,NA,NA,NA,NA,953,103,27975,1828,23015,1512,899,98,NA,NA
"55",1979,1,"AL",3,"Alabama",3866248,2211,91,2880,161,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,5091,252,5091,252,0,0,NA,NA
"56",1979,2,"AK",4,"Alaska",402753,388,19,81,7,NA,NA,235,5,NA,NA,NA,NA,0,0,NA,NA,NA,NA,25,0,729,31,NA,NA,729,31,NA,NA
"57",1979,4,"AZ",4,"Arizona",2635571,2520,115,687,33,862,50,107,5,NA,NA,NA,NA,6,2,NA,NA,NA,NA,15,0,3335,155,2458,105,15,0,NA,NA
"58",1979,5,"AR",3,"Arkansas",2271333,1312,58,1539,54,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2851,112,2851,112,0,0,NA,NA
"59",1979,6,"CA",4,"California",23256880,13630,755,7323,423,5105,229,196,43,NA,NA,NA,NA,152,5,NA,NA,NA,NA,99,6,21400,1232,16295,1003,0,0,NA,NA
"60",1979,8,"CO",4,"Colorado",2849234,1895,46,542,17,689,13,16,2,NA,NA,NA,NA,9,1,NA,NA,NA,NA,0,0,2462,66,1773,53,0,0,NA,NA
"61",1979,9,"CT",1,"Connecticut",3095917,2262,55,1649,87,559,7,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,8,0,3919,142,3360,135,0,0,NA,NA
