"","YEAR","STATEID","STATE","REGION","state_name","Population","ADCRNEWM","ADCRNEWF","ADCRNOM","ADCRNOF","ADTRANSM","ADTRANSF","ADAWOLM","ADAWOLF","ADESCAPM","ADESCAPF","ADAWESM","ADAWESF","ADRETM","ADRETF","ADOTHM","ADOTHF","ADTOTM","ADTOTF"
"80",1979,29,"MO",2,"Missouri",4912430,0,0,0,0,0,0,NA,NA,NA,NA,61,5,0,0,136,13,2493,122
"81",1979,30,"MT",4,"Montana",787305,0,0,5,0,0,0,NA,NA,NA,NA,6,3,2,0,0,0,360,37
"82",1979,31,"NE",2,"Nebraska",1567344,0,0,0,0,0,0,NA,NA,NA,NA,26,4,7,0,0,0,495,30
"83",1979,32,"NV",4,"Nevada",765367,0,0,0,0,0,0,NA,NA,NA,NA,17,0,3,0,0,0,869,72
"84",1979,33,"NH",1,"New Hampshire",909074,0,0,0,0,0,0,NA,NA,NA,NA,8,0,0,0,0,0,210,3
"85",1979,34,"NJ",1,"New Jersey",7366512,0,0,0,0,0,0,NA,NA,NA,NA,86,2,33,1,0,1,3593,175
"86",1979,35,"NM",4,"New Mexico",1284722,0,0,4,0,0,0,NA,NA,NA,NA,51,11,9,0,0,0,793,44
"87",1979,36,"NY",1,"New York",17583838,0,0,0,0,320,18,NA,NA,NA,NA,147,9,45,2,0,8,9169,346
"88",1979,37,"NC",3,"North Carolina",5823491,0,0,0,0,0,0,NA,NA,NA,NA,809,16,0,0,351,32,8282,428
"89",1979,38,"ND",2,"North Dakota",652896,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,144,4
"90",1979,39,"OH",2,"Ohio",10798298,0,0,263,29,71,1,NA,NA,NA,NA,45,0,0,0,0,0,7559,637
"91",1979,40,"OK",3,"Oklahoma",2975310,0,0,0,0,0,0,NA,NA,NA,NA,83,7,0,0,0,0,2673,177
"92",1979,41,"OR",4,"Oregon",2588012,0,0,0,0,8,0,NA,NA,NA,NA,173,8,0,0,2,0,2330,120
"93",1979,42,"PA",1,"Pennsylvania",11887975,0,0,0,0,103,9,NA,NA,NA,NA,65,19,21,1,20,0,3330,185
"94",1979,44,"RI",1,"Rhode Island",950382,0,0,0,0,4,0,NA,NA,NA,NA,19,0,5,0,0,0,274,5
"95",1979,45,"SC",3,"South Carolina",3090267,189,0,0,0,7,0,NA,NA,NA,NA,260,6,11,0,153,9,3603,162
"96",1979,46,"SD",2,"South Dakota",688335,0,0,6,1,0,0,NA,NA,NA,NA,17,0,0,0,0,0,317,26
"97",1979,47,"TN",3,"Tennessee",4560473,0,0,7,0,8,2,NA,NA,NA,NA,374,10,0,0,0,0,3376,208
"98",1979,48,"TX",3,"Texas",13888371,124,12,0,0,20,1,NA,NA,NA,NA,5,0,0,0,4,0,12524,859
"99",1979,49,"UT",4,"Utah",1420238,0,0,0,0,0,0,NA,NA,NA,NA,53,9,3,0,0,0,469,23
"100",1979,50,"VT",1,"Vermont",505372,4,0,1,0,1,0,NA,NA,NA,NA,35,1,0,0,0,0,254,8
"101",1979,51,"VA",3,"Virginia",5307945,0,0,0,0,169,12,NA,NA,NA,NA,76,0,2,0,0,0,3666,158
"102",1979,53,"WA",4,"Washington",4017632,0,0,0,0,0,0,NA,NA,NA,NA,262,17,0,0,0,0,2146,141
"103",1979,54,"WV",3,"West Virginia",1942146,0,0,4,0,0,0,NA,NA,NA,NA,29,1,1,0,1,0,563,20
"104",1979,55,"WI",2,"Wisconsin",4682811,67,0,107,3,0,0,NA,NA,NA,NA,47,7,0,0,0,0,1505,88
"105",1979,56,"WY",4,"Wyoming",454378,0,0,0,0,0,0,NA,NA,NA,NA,7,0,1,0,0,0,247,17
"106",1979,60,"ST",7,"State prison total",NA,1497,61,1141,64,2512,285,0,0,0,0,6641,458,197,4,3771,536,147957,9089
"107",1979,70,"US",5,"US prison total (state+federal)",NA,1497,61,1392,75,3102,336,0,0,0,0,7512,533,237,11,3771,536,162693,10060
"108",1979,99,"FE",6,"Federal BOP",NA,0,0,251,11,590,51,NA,NA,NA,NA,871,75,40,7,0,0,14736,971
"109",1980,1,"AL",3,"Alabama",3918531,0,0,0,0,0,0,NA,NA,NA,NA,8,0,0,0,6,0,3584,190
